"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CAALFM_C404230WA",7902.06011388958,5.16279122201144,0.204469980765829,3.91055951768866e-142,2.34711782251673e-138
"CAALFM_CR09350CA",1174.7420332167,8.17393601576178,0.338096693096371,4.20526180644151e-129,1.2619990681131e-125
"CAALFM_C302860WA",4665.24953001509,4.68173370830889,0.199923344941544,1.67974541343184e-122,3.36061065713931e-119
"CAALFM_C305130CA",148044.565079694,11.5456384200033,0.517948602213712,2.79421286485788e-111,4.19271640371924e-108
"CAALFM_C503480CA",19328.8279198299,3.88761275460109,0.199081798742487,1.90461341687685e-86,2.28629794561897e-83
"CAALFM_C203370WA",3682.20428227489,4.44655671691203,0.22838122038092,1.12248964276904e-85,1.1228638059833e-82
"CAALFM_CR09290WA",71545.15853897,9.3099498571774,0.496803532547939,1.50458492473552e-79,1.29007410260894e-76
"CAALFM_CR09360WA",7084.39049298342,6.34557068702908,0.499956694802146,3.50767659618059e-38,2.63163436628449e-35
"CAALFM_C102590CA",28052.7950017401,2.54775475869495,0.252792517701398,3.8467076998355e-25,2.56532662382363e-22
"CAALFM_C404220WA",320.155908111694,1.71097878786759,0.257620380480082,1.40197162144488e-12,8.41463367191216e-10
"CAALFM_C204580WA",5087.6829200704,1.01387574706897,0.174453836270501,2.80012835015406e-10,1.52785185069315e-07
"CAALFM_C102600WA",2442.20991117495,1.18964710270066,0.284417283894782,1.1570979537004e-06,0.000578741826509151
"CAALFM_C302870CA",303.654551331314,1.20927705398616,0.391277368143484,6.79351446171341e-05,0.0313651336916953
"CAALFM_C200760CA",359.680370877278,2.44292299356196,0.892505996401122,0.000171255341400502,0.0734196113632722
"CAALFM_C603170CA",305.978160043283,1.32686012463828,0.547518489698165,0.000426256904063463,0.159899621136807
"CAALFM_CR09270CA",3933.96798872808,1.19335639147369,0.486380562172038,0.00041106886363243,0.159899621136807
"CAALFM_C700770WA",635.909874645947,1.24358344813806,0.527113341140564,0.000498408007587168,0.175967344796364
"CAALFM_C201970CA",2356.01452936839,0.840200749859128,0.378944389743494,0.000712747895902362,0.23766182617811
"CAALFM_CR01980CA",5315.76333459742,0.671205734971229,0.318224602734635,0.000960181444144667,0.303316264618752
"CAALFM_C111490CA",30.7684653677879,1.39641735083815,0.711809117434908,0.00118232439425159,0.354815550714904
"CAALFM_C110270CA",1677.08035928386,0.250171049080538,0.117946278915865,0.00145517764138077,0.415903628741303
"CAALFM_C406510CA",1552.43236241406,0.99283116699019,0.845805126233782,0.00333045551995504,0.90860881958046
"CAALFM_C100020CA",1585.32421743592,-0.00109545451255549,0.0561703028691109,0.889464038411028,0.99970875222106
"CAALFM_C100030CA",54.1648375580755,0.00504566778596818,0.0566668282600455,0.411746676792677,0.99970875222106
"CAALFM_C100040WA",751.885322601398,-0.0031333249545518,0.0554416303607991,0.774586376004641,0.99970875222106
"CAALFM_C100060WA",17369.3567951687,0.0127121946008185,0.0565671693363219,0.508196529907011,0.99970875222106
"CAALFM_C100070WA",6408.4979151704,-0.00132134813391882,0.055920715309176,0.881091751586916,0.99970875222106
"CAALFM_C100080CA",750.059692121671,-0.00609702636220397,0.0542372538766855,0.717103637806687,0.99970875222106
"CAALFM_C100090WA",108.604738304166,0.0146384623932704,0.0584114666186065,0.172604682028243,0.99970875222106
"CAALFM_C100100CA",1604.70205145393,-0.00159911828511021,0.0557801151214424,0.871019745868153,0.99970875222106
"CAALFM_C100110WA",7851.51071279075,-0.000528178137562674,0.0560962923299279,0.942059693135519,0.99970875222106
"CAALFM_C100120CA",1562.29532028299,-0.0112559594232495,0.0557775746992305,0.477060595715471,0.99970875222106
"CAALFM_C100130CA",1919.13037566569,0.00307520299809555,0.0554630808027841,0.798782678440863,0.99970875222106
"CAALFM_C100140WA",3825.94572311228,0.0200546394077491,0.0528141027220068,0.42834136622901,0.99970875222106
"CAALFM_C100150CA",1539.31255829885,0.00618634876646343,0.0559635287198867,0.487325280654505,0.99970875222106
"CAALFM_C100160CA",16063.4991199353,-0.00039486416577459,0.056597003457351,0.875913761238721,0.99970875222106
"CAALFM_C100170WA",3308.83275892657,-0.00164360717885828,0.0564648786089837,0.743996155034864,0.99970875222106
"CAALFM_C100180WA",64266.9044981682,-0.00328012248065196,0.0566077792852467,0.741221456709356,0.99970875222106
"CAALFM_C100190CA",33.9608322776516,-0.00300116411397884,0.0566594458529549,0.423955026603137,0.99970875222106
"CAALFM_C100200CA",79.7983210423639,-0.00207780277915031,0.0563588276260336,0.741025369254418,0.99970875222106
"CAALFM_C100210CA",4395.39248768198,6.83168590493131e-05,0.055583379589149,0.988128553567362,0.99970875222106
"CAALFM_C100220WA",16074.9541181941,0.00802101051231555,0.0563195107184678,0.478117516867872,0.99970875222106
"CAALFM_C100230CA",954.133841063475,-0.00671784218635447,0.053943234621004,0.705856303190821,0.99970875222106
"CAALFM_C100240CA",25.9449023465294,-0.00155602160768331,0.0566204527060395,0.595906177269644,0.99970875222106
"CAALFM_C100320WA",611.31817133918,0.00908329627164297,0.0559112146923832,0.508766290656362,0.99970875222106
"CAALFM_C100330CA",1247.31246707112,0.00197186712009107,0.0540083220108559,0.906241334499651,0.99970875222106
"CAALFM_C100340WA",2123.77944038607,-0.0011172303213079,0.0563641846739792,0.844218306439294,0.99970875222106
"CAALFM_C100350CA",2870.87421010888,0.00285281694694762,0.0565384168830677,0.580536721085531,0.99970875222106
"CAALFM_C100360WA",568.348717351568,-0.031855140460756,0.0609863716018656,0.2067065593265,0.99970875222106
"CAALFM_C100370WA",26.3453402992117,-0.000501749848438537,0.0564049474786898,0.923846404222963,0.99970875222106
"CAALFM_C100380CA",1125.93735849013,-0.00196929571725746,0.0544014632857532,0.897713499277628,0.99970875222106
"CAALFM_C100390WA",965.606609336878,0.0060620853438627,0.0553317268644457,0.661701559699989,0.99970875222106
"CAALFM_C100400WA",4313.95720479717,-0.00303162117492891,0.0553191213850016,0.806926511377822,0.99970875222106
"CAALFM_C100410CA",2137.4335782271,0.000259785355452579,0.0532071021513986,0.989273240478231,0.99970875222106
"CAALFM_C100420WA",1812.62045519014,-0.000459128041411227,0.0562944722815757,0.938972101678783,0.99970875222106
